Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00  1804687     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.89     0.00  1804687     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.89     0.00  1800010     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.89     0.00  1800001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.89     0.00  1799996     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.89     0.00  1799996     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.89     0.00  1799996     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.89     0.00  1204688     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.89     0.00  1204688     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.89     0.00  1204688     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.89     0.00  1204685     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.89     0.00  1200020     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.89     0.00  1200020     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.89     0.00  1200011     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.89     0.00  1200011     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
  0.00      0.89     0.00  1200011     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.89     0.00  1200011     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.89     0.00  1200011     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.89     0.00  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.89     0.00  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.00      0.89     0.00  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.00      0.89     0.00  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.89     0.00  1200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.00      0.89     0.00  1200001     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.89     0.00  1200001     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.89     0.00  1200001     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.89     0.00  1200000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.89     0.00  1200000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.89     0.00  1199998     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
